variant,depth,threads,run,elapsed_sec
zero_stack_threaded,11,4,1,0.47
zero_stack_threaded,11,5,1,0.66
zero_stack_threaded,11,6,1,0.76
zero_stack_threaded,11,7,1,0.91
zero_stack_threaded,11,8,1,1.06
zero_stack_threaded,12,1,1,0.14
zero_stack_threaded,12,2,1,0.52
zero_stack_threaded,12,3,1,0.53
zero_stack_threaded,12,4,1,1.13
zero_stack_threaded,12,5,1,1.28
zero_stack_threaded,12,6,1,1.84
zero_stack_threaded,12,7,1,2.07
zero_stack_threaded,12,8,1,2.69
zero_stack_threaded,13,1,1,0.18
zero_stack_threaded,13,2,1,1.11
zero_stack_threaded,13,3,1,0.99
zero_stack_threaded,13,4,1,2.26
zero_stack_threaded,13,5,1,2.89
zero_stack_threaded,13,6,1,3.66
zero_stack_threaded,13,7,1,4.67
zero_stack_threaded,13,8,1,5.51
zero_stack_threaded,14,1,1,0.39
zero_stack_threaded,14,2,1,2.08
zero_stack_threaded,14,3,1,2.30
zero_stack_threaded,14,4,1,5.08
zero_stack_threaded,14,5,1,6.47
zero_stack_threaded,14,6,1,8.60
zero_stack_threaded,14,7,1,11.32
zero_stack_threaded,14,8,1,13.81
